claimID,c,theta,mu,beta,gamma,majority,weighted,weightedAfterAlgorithm
28,0.600,0.600,0.800,0.400,1.000,-0.882,-0.261,-0.262
28,0.600,0.600,0.800,0.600,0.000,-0.882,-0.261,-0.256
28,0.600,0.600,0.800,0.600,0.200,-0.882,-0.261,-0.257
28,0.600,0.600,0.800,0.600,0.400,-0.882,-0.261,-0.258
28,0.600,0.600,0.800,0.600,0.600,-0.882,-0.261,-0.260
28,0.600,0.600,0.800,0.600,0.800,-0.882,-0.261,-0.261
28,0.600,0.600,0.800,0.600,1.000,-0.882,-0.261,-0.263
28,0.600,0.600,0.800,0.800,0.000,-0.882,-0.261,-0.257
28,0.600,0.600,0.800,0.800,0.200,-0.882,-0.261,-0.258
28,0.600,0.600,0.800,0.800,0.400,-0.882,-0.261,-0.260
28,0.600,0.600,0.800,0.800,0.600,-0.882,-0.261,-0.261
28,0.600,0.600,0.800,0.800,0.800,-0.882,-0.261,-0.263
28,0.600,0.600,0.800,0.800,1.000,-0.882,-0.261,-0.264
28,0.600,0.600,0.800,1.000,0.000,-0.882,-0.261,-0.258
28,0.600,0.600,0.800,1.000,0.200,-0.882,-0.261,-0.259
28,0.600,0.600,0.800,1.000,0.400,-0.882,-0.261,-0.261
28,0.600,0.600,0.800,1.000,0.600,-0.882,-0.261,-0.262
28,0.600,0.600,0.800,1.000,0.800,-0.882,-0.261,-0.264
28,0.600,0.600,0.800,1.000,1.000,-0.882,-0.261,-0.265
28,0.600,0.600,1.000,0.000,0.000,-0.882,-0.261,-0.251
28,0.600,0.600,1.000,0.000,0.200,-0.882,-0.261,-0.252
28,0.600,0.600,1.000,0.000,0.400,-0.882,-0.261,-0.253
28,0.600,0.600,1.000,0.000,0.600,-0.882,-0.261,-0.255
28,0.600,0.600,1.000,0.000,0.800,-0.882,-0.261,-0.256
28,0.600,0.600,1.000,0.000,1.000,-0.882,-0.261,-0.257
28,0.600,0.600,1.000,0.200,0.000,-0.882,-0.261,-0.252
28,0.600,0.600,1.000,0.200,0.200,-0.882,-0.261,-0.253
28,0.600,0.600,1.000,0.200,0.400,-0.882,-0.261,-0.254
28,0.600,0.600,1.000,0.200,0.600,-0.882,-0.261,-0.256
28,0.600,0.600,1.000,0.200,0.800,-0.882,-0.261,-0.257
28,0.600,0.600,1.000,0.200,1.000,-0.882,-0.261,-0.259
28,0.600,0.600,1.000,0.400,0.000,-0.882,-0.261,-0.253
28,0.600,0.600,1.000,0.400,0.200,-0.882,-0.261,-0.254
28,0.600,0.600,1.000,0.400,0.400,-0.882,-0.261,-0.256
28,0.600,0.600,1.000,0.400,0.600,-0.882,-0.261,-0.257
28,0.600,0.600,1.000,0.400,0.800,-0.882,-0.261,-0.259
28,0.600,0.600,1.000,0.400,1.000,-0.882,-0.261,-0.260
28,0.600,0.600,1.000,0.600,0.000,-0.882,-0.261,-0.254
28,0.600,0.600,1.000,0.600,0.200,-0.882,-0.261,-0.255
28,0.600,0.600,1.000,0.600,0.400,-0.882,-0.261,-0.257
28,0.600,0.600,1.000,0.600,0.600,-0.882,-0.261,-0.258
28,0.600,0.600,1.000,0.600,0.800,-0.882,-0.261,-0.260
28,0.600,0.600,1.000,0.600,1.000,-0.882,-0.261,-0.261
28,0.600,0.600,1.000,0.800,0.000,-0.882,-0.261,-0.255
28,0.600,0.600,1.000,0.800,0.200,-0.882,-0.261,-0.257
28,0.600,0.600,1.000,0.800,0.400,-0.882,-0.261,-0.258
28,0.600,0.600,1.000,0.800,0.600,-0.882,-0.261,-0.260
28,0.600,0.600,1.000,0.800,0.800,-0.882,-0.261,-0.261
28,0.600,0.600,1.000,0.800,1.000,-0.882,-0.261,-0.262
28,0.600,0.600,1.000,1.000,0.000,-0.882,-0.261,-0.256
28,0.600,0.600,1.000,1.000,0.200,-0.882,-0.261,-0.258
28,0.600,0.600,1.000,1.000,0.400,-0.882,-0.261,-0.259
28,0.600,0.600,1.000,1.000,0.600,-0.882,-0.261,-0.261
28,0.600,0.600,1.000,1.000,0.800,-0.882,-0.261,-0.262
28,0.600,0.600,1.000,1.000,1.000,-0.882,-0.261,-0.263
28,0.600,0.800,0.000,0.000,0.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.000,0.200,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.000,0.400,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.000,0.600,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.000,0.800,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.000,1.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.200,0.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.200,0.200,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.200,0.400,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.200,0.600,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.200,0.800,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.200,1.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.400,0.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.400,0.200,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.400,0.400,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.400,0.600,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.400,0.800,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.400,1.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.600,0.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.600,0.200,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.600,0.400,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.600,0.600,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.600,0.800,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.600,1.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.800,0.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.800,0.200,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.800,0.400,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.800,0.600,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.800,0.800,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,0.800,1.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,1.000,0.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,1.000,0.200,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,1.000,0.400,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,1.000,0.600,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,1.000,0.800,-0.882,-0.261,-0.256
28,0.600,0.800,0.000,1.000,1.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.200,0.000,0.000,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.000,0.200,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.000,0.400,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.000,0.600,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.000,0.800,-0.882,-0.261,-0.261
28,0.600,0.800,0.200,0.000,1.000,-0.882,-0.261,-0.261
28,0.600,0.800,0.200,0.200,0.000,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.200,0.200,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.200,0.400,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.200,0.600,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.200,0.800,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.200,1.000,-0.882,-0.261,-0.261
28,0.600,0.800,0.200,0.400,0.000,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.400,0.200,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.400,0.400,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.400,0.600,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.400,0.800,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.400,1.000,-0.882,-0.261,-0.261
28,0.600,0.800,0.200,0.600,0.000,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.600,0.200,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.600,0.400,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.600,0.600,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.600,0.800,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.600,1.000,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.800,0.000,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.800,0.200,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.800,0.400,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.800,0.600,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,0.800,0.800,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,0.800,1.000,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,1.000,0.000,-0.882,-0.261,-0.258
28,0.600,0.800,0.200,1.000,0.200,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,1.000,0.400,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,1.000,0.600,-0.882,-0.261,-0.259
28,0.600,0.800,0.200,1.000,0.800,-0.882,-0.261,-0.260
28,0.600,0.800,0.200,1.000,1.000,-0.882,-0.261,-0.260
28,0.600,0.800,0.400,0.000,0.000,-0.882,-0.261,-0.257
28,0.600,0.800,0.400,0.000,0.200,-0.882,-0.261,-0.257
28,0.600,0.800,0.400,0.000,0.400,-0.882,-0.261,-0.258
28,0.600,0.800,0.400,0.000,0.600,-0.882,-0.261,-0.259
28,0.600,0.800,0.400,0.000,0.800,-0.882,-0.261,-0.259
28,0.600,0.800,0.400,0.000,1.000,-0.882,-0.261,-0.260
28,0.600,0.800,0.400,0.200,0.000,-0.882,-0.261,-0.257
28,0.600,0.800,0.400,0.200,0.200,-0.882,-0.261,-0.258
28,0.600,0.800,0.400,0.200,0.400,-0.882,-0.261,-0.259
28,0.600,0.800,0.400,0.200,0.600,-0.882,-0.261,-0.259
28,0.600,0.800,0.400,0.200,0.800,-0.882,-0.261,-0.260
28,0.600,0.800,0.400,0.200,1.000,-0.882,-0.261,-0.261
28,0.600,0.800,0.400,0.400,0.000,-0.882,-0.261,-0.258
28,0.600,0.800,0.400,0.400,0.200,-0.882,-0.261,-0.259
28,0.600,0.800,0.400,0.400,0.400,-0.882,-0.261,-0.260
28,0.600,0.800,0.400,0.400,0.600,-0.882,-0.261,-0.260
28,0.600,0.800,0.400,0.400,0.800,-0.882,-0.261,-0.261
28,0.600,0.800,0.400,0.400,1.000,-0.882,-0.261,-0.262
28,0.600,0.800,0.400,0.600,0.000,-0.882,-0.261,-0.259
28,0.600,0.800,0.400,0.600,0.200,-0.882,-0.261,-0.259
28,0.600,0.800,0.400,0.600,0.400,-0.882,-0.261,-0.260
28,0.600,0.800,0.400,0.600,0.600,-0.882,-0.261,-0.261
28,0.600,0.800,0.400,0.600,0.800,-0.882,-0.261,-0.262
28,0.600,0.800,0.400,0.600,1.000,-0.882,-0.261,-0.263
28,0.600,0.800,0.400,0.800,0.000,-0.882,-0.261,-0.259
28,0.600,0.800,0.400,0.800,0.200,-0.882,-0.261,-0.260
28,0.600,0.800,0.400,0.800,0.400,-0.882,-0.261,-0.261
28,0.600,0.800,0.400,0.800,0.600,-0.882,-0.261,-0.262
28,0.600,0.800,0.400,0.800,0.800,-0.882,-0.261,-0.263
28,0.600,0.800,0.400,0.800,1.000,-0.882,-0.261,-0.264
28,0.600,0.800,0.400,1.000,0.000,-0.882,-0.261,-0.260
28,0.600,0.800,0.400,1.000,0.200,-0.882,-0.261,-0.261
28,0.600,0.800,0.400,1.000,0.400,-0.882,-0.261,-0.262
28,0.600,0.800,0.400,1.000,0.600,-0.882,-0.261,-0.263
28,0.600,0.800,0.400,1.000,0.800,-0.882,-0.261,-0.263
28,0.600,0.800,0.400,1.000,1.000,-0.882,-0.261,-0.264
28,0.600,0.800,0.600,0.000,0.000,-0.882,-0.261,-0.254
28,0.600,0.800,0.600,0.000,0.200,-0.882,-0.261,-0.255
28,0.600,0.800,0.600,0.000,0.400,-0.882,-0.261,-0.256
28,0.600,0.800,0.600,0.000,0.600,-0.882,-0.261,-0.257
28,0.600,0.800,0.600,0.000,0.800,-0.882,-0.261,-0.258
28,0.600,0.800,0.600,0.000,1.000,-0.882,-0.261,-0.259
28,0.600,0.800,0.600,0.200,0.000,-0.882,-0.261,-0.255
28,0.600,0.800,0.600,0.200,0.200,-0.882,-0.261,-0.256
28,0.600,0.800,0.600,0.200,0.400,-0.882,-0.261,-0.257
28,0.600,0.800,0.600,0.200,0.600,-0.882,-0.261,-0.258
28,0.600,0.800,0.600,0.200,0.800,-0.882,-0.261,-0.259
28,0.600,0.800,0.600,0.200,1.000,-0.882,-0.261,-0.260
28,0.600,0.800,0.600,0.400,0.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.600,0.400,0.200,-0.882,-0.261,-0.257
28,0.600,0.800,0.600,0.400,0.400,-0.882,-0.261,-0.258
28,0.600,0.800,0.600,0.400,0.600,-0.882,-0.261,-0.259
28,0.600,0.800,0.600,0.400,0.800,-0.882,-0.261,-0.260
28,0.600,0.800,0.600,0.400,1.000,-0.882,-0.261,-0.261
28,0.600,0.800,0.600,0.600,0.000,-0.882,-0.261,-0.257
28,0.600,0.800,0.600,0.600,0.200,-0.882,-0.261,-0.257
28,0.600,0.800,0.600,0.600,0.400,-0.882,-0.261,-0.258
28,0.600,0.800,0.600,0.600,0.600,-0.882,-0.261,-0.259
28,0.600,0.800,0.600,0.600,0.800,-0.882,-0.261,-0.261
28,0.600,0.800,0.600,0.600,1.000,-0.882,-0.261,-0.262
28,0.600,0.800,0.600,0.800,0.000,-0.882,-0.261,-0.257
28,0.600,0.800,0.600,0.800,0.200,-0.882,-0.261,-0.258
28,0.600,0.800,0.600,0.800,0.400,-0.882,-0.261,-0.259
28,0.600,0.800,0.600,0.800,0.600,-0.882,-0.261,-0.260
28,0.600,0.800,0.600,0.800,0.800,-0.882,-0.261,-0.262
28,0.600,0.800,0.600,0.800,1.000,-0.882,-0.261,-0.263
28,0.600,0.800,0.600,1.000,0.000,-0.882,-0.261,-0.258
28,0.600,0.800,0.600,1.000,0.200,-0.882,-0.261,-0.259
28,0.600,0.800,0.600,1.000,0.400,-0.882,-0.261,-0.260
28,0.600,0.800,0.600,1.000,0.600,-0.882,-0.261,-0.261
28,0.600,0.800,0.600,1.000,0.800,-0.882,-0.261,-0.263
28,0.600,0.800,0.600,1.000,1.000,-0.882,-0.261,-0.264
28,0.600,0.800,0.800,0.000,0.000,-0.882,-0.261,-0.252
28,0.600,0.800,0.800,0.000,0.200,-0.882,-0.261,-0.253
28,0.600,0.800,0.800,0.000,0.400,-0.882,-0.261,-0.254
28,0.600,0.800,0.800,0.000,0.600,-0.882,-0.261,-0.255
28,0.600,0.800,0.800,0.000,0.800,-0.882,-0.261,-0.256
28,0.600,0.800,0.800,0.000,1.000,-0.882,-0.261,-0.257
28,0.600,0.800,0.800,0.200,0.000,-0.882,-0.261,-0.253
28,0.600,0.800,0.800,0.200,0.200,-0.882,-0.261,-0.254
28,0.600,0.800,0.800,0.200,0.400,-0.882,-0.261,-0.255
28,0.600,0.800,0.800,0.200,0.600,-0.882,-0.261,-0.256
28,0.600,0.800,0.800,0.200,0.800,-0.882,-0.261,-0.257
28,0.600,0.800,0.800,0.200,1.000,-0.882,-0.261,-0.258
28,0.600,0.800,0.800,0.400,0.000,-0.882,-0.261,-0.253
28,0.600,0.800,0.800,0.400,0.200,-0.882,-0.261,-0.254
28,0.600,0.800,0.800,0.400,0.400,-0.882,-0.261,-0.256
28,0.600,0.800,0.800,0.400,0.600,-0.882,-0.261,-0.257
28,0.600,0.800,0.800,0.400,0.800,-0.882,-0.261,-0.258
28,0.600,0.800,0.800,0.400,1.000,-0.882,-0.261,-0.260
28,0.600,0.800,0.800,0.600,0.000,-0.882,-0.261,-0.254
28,0.600,0.800,0.800,0.600,0.200,-0.882,-0.261,-0.255
28,0.600,0.800,0.800,0.600,0.400,-0.882,-0.261,-0.257
28,0.600,0.800,0.800,0.600,0.600,-0.882,-0.261,-0.258
28,0.600,0.800,0.800,0.600,0.800,-0.882,-0.261,-0.259
28,0.600,0.800,0.800,0.600,1.000,-0.882,-0.261,-0.261
28,0.600,0.800,0.800,0.800,0.000,-0.882,-0.261,-0.255
28,0.600,0.800,0.800,0.800,0.200,-0.882,-0.261,-0.256
28,0.600,0.800,0.800,0.800,0.400,-0.882,-0.261,-0.257
28,0.600,0.800,0.800,0.800,0.600,-0.882,-0.261,-0.259
28,0.600,0.800,0.800,0.800,0.800,-0.882,-0.261,-0.260
28,0.600,0.800,0.800,0.800,1.000,-0.882,-0.261,-0.262
28,0.600,0.800,0.800,1.000,0.000,-0.882,-0.261,-0.256
28,0.600,0.800,0.800,1.000,0.200,-0.882,-0.261,-0.257
28,0.600,0.800,0.800,1.000,0.400,-0.882,-0.261,-0.258
28,0.600,0.800,0.800,1.000,0.600,-0.882,-0.261,-0.260
28,0.600,0.800,0.800,1.000,0.800,-0.882,-0.261,-0.261
28,0.600,0.800,0.800,1.000,1.000,-0.882,-0.261,-0.263
28,0.600,0.800,1.000,0.000,0.000,-0.882,-0.261,-0.250
28,0.600,0.800,1.000,0.000,0.200,-0.882,-0.261,-0.251
28,0.600,0.800,1.000,0.000,0.400,-0.882,-0.261,-0.252
28,0.600,0.800,1.000,0.000,0.600,-0.882,-0.261,-0.253
28,0.600,0.800,1.000,0.000,0.800,-0.882,-0.261,-0.255
28,0.600,0.800,1.000,0.000,1.000,-0.882,-0.261,-0.256
28,0.600,0.800,1.000,0.200,0.000,-0.882,-0.261,-0.251
28,0.600,0.800,1.000,0.200,0.200,-0.882,-0.261,-0.252
28,0.600,0.800,1.000,0.200,0.400,-0.882,-0.261,-0.253
28,0.600,0.800,1.000,0.200,0.600,-0.882,-0.261,-0.254
28,0.600,0.800,1.000,0.200,0.800,-0.882,-0.261,-0.256
28,0.600,0.800,1.000,0.200,1.000,-0.882,-0.261,-0.258
28,0.600,0.800,1.000,0.400,0.000,-0.882,-0.261,-0.252
28,0.600,0.800,1.000,0.400,0.200,-0.882,-0.261,-0.253
28,0.600,0.800,1.000,0.400,0.400,-0.882,-0.261,-0.254
28,0.600,0.800,1.000,0.400,0.600,-0.882,-0.261,-0.256
28,0.600,0.800,1.000,0.400,0.800,-0.882,-0.261,-0.257
28,0.600,0.800,1.000,0.400,1.000,-0.882,-0.261,-0.259
28,0.600,0.800,1.000,0.600,0.000,-0.882,-0.261,-0.253
28,0.600,0.800,1.000,0.600,0.200,-0.882,-0.261,-0.254
28,0.600,0.800,1.000,0.600,0.400,-0.882,-0.261,-0.255
28,0.600,0.800,1.000,0.600,0.600,-0.882,-0.261,-0.257
28,0.600,0.800,1.000,0.600,0.800,-0.882,-0.261,-0.258
28,0.600,0.800,1.000,0.600,1.000,-0.882,-0.261,-0.260
28,0.600,0.800,1.000,0.800,0.000,-0.882,-0.261,-0.254
28,0.600,0.800,1.000,0.800,0.200,-0.882,-0.261,-0.255
28,0.600,0.800,1.000,0.800,0.400,-0.882,-0.261,-0.256
28,0.600,0.800,1.000,0.800,0.600,-0.882,-0.261,-0.258
28,0.600,0.800,1.000,0.800,0.800,-0.882,-0.261,-0.259
28,0.600,0.800,1.000,0.800,1.000,-0.882,-0.261,-0.261
28,0.600,0.800,1.000,1.000,0.000,-0.882,-0.261,-0.255
28,0.600,0.800,1.000,1.000,0.200,-0.882,-0.261,-0.256
28,0.600,0.800,1.000,1.000,0.400,-0.882,-0.261,-0.257
28,0.600,0.800,1.000,1.000,0.600,-0.882,-0.261,-0.259
28,0.600,0.800,1.000,1.000,0.800,-0.882,-0.261,-0.261
28,0.600,0.800,1.000,1.000,1.000,-0.882,-0.261,-0.263
28,0.600,1.000,0.000,0.000,0.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.000,0.200,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.000,0.400,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.000,0.600,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.000,0.800,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.000,1.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.200,0.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.200,0.200,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.200,0.400,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.200,0.600,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.200,0.800,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.200,1.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.400,0.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.400,0.200,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.400,0.400,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.400,0.600,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.400,0.800,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.400,1.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.600,0.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.600,0.200,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.600,0.400,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.600,0.600,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.600,0.800,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.600,1.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.800,0.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.800,0.200,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.800,0.400,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.800,0.600,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.800,0.800,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,0.800,1.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,1.000,0.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,1.000,0.200,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,1.000,0.400,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,1.000,0.600,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,1.000,0.800,-0.882,-0.261,-0.254
28,0.600,1.000,0.000,1.000,1.000,-0.882,-0.261,-0.254
28,0.600,1.000,0.200,0.000,0.000,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.000,0.200,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.000,0.400,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.000,0.600,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.000,0.800,-0.882,-0.261,-0.259
28,0.600,1.000,0.200,0.000,1.000,-0.882,-0.261,-0.259
28,0.600,1.000,0.200,0.200,0.000,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.200,0.200,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.200,0.400,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.200,0.600,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.200,0.800,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.200,1.000,-0.882,-0.261,-0.259
28,0.600,1.000,0.200,0.400,0.000,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.400,0.200,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.400,0.400,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.400,0.600,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.400,0.800,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.400,1.000,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.600,0.000,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.600,0.200,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.600,0.400,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.600,0.600,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.600,0.800,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.600,1.000,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.800,0.000,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.800,0.200,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.800,0.400,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,0.800,0.600,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.800,0.800,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,0.800,1.000,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,1.000,0.000,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,1.000,0.200,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,1.000,0.400,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,1.000,0.600,-0.882,-0.261,-0.257
28,0.600,1.000,0.200,1.000,0.800,-0.882,-0.261,-0.258
28,0.600,1.000,0.200,1.000,1.000,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,0.000,0.000,-0.882,-0.261,-0.255
28,0.600,1.000,0.400,0.000,0.200,-0.882,-0.261,-0.256
28,0.600,1.000,0.400,0.000,0.400,-0.882,-0.261,-0.256
28,0.600,1.000,0.400,0.000,0.600,-0.882,-0.261,-0.257
28,0.600,1.000,0.400,0.000,0.800,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,0.000,1.000,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,0.200,0.000,-0.882,-0.261,-0.256
28,0.600,1.000,0.400,0.200,0.200,-0.882,-0.261,-0.256
28,0.600,1.000,0.400,0.200,0.400,-0.882,-0.261,-0.257
28,0.600,1.000,0.400,0.200,0.600,-0.882,-0.261,-0.257
28,0.600,1.000,0.400,0.200,0.800,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,0.200,1.000,-0.882,-0.261,-0.259
28,0.600,1.000,0.400,0.400,0.000,-0.882,-0.261,-0.256
28,0.600,1.000,0.400,0.400,0.200,-0.882,-0.261,-0.257
28,0.600,1.000,0.400,0.400,0.400,-0.882,-0.261,-0.257
28,0.600,1.000,0.400,0.400,0.600,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,0.400,0.800,-0.882,-0.261,-0.259
28,0.600,1.000,0.400,0.400,1.000,-0.882,-0.261,-0.259
28,0.600,1.000,0.400,0.600,0.000,-0.882,-0.261,-0.257
28,0.600,1.000,0.400,0.600,0.200,-0.882,-0.261,-0.257
28,0.600,1.000,0.400,0.600,0.400,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,0.600,0.600,-0.882,-0.261,-0.259
28,0.600,1.000,0.400,0.600,0.800,-0.882,-0.261,-0.259
28,0.600,1.000,0.400,0.600,1.000,-0.882,-0.261,-0.260
28,0.600,1.000,0.400,0.800,0.000,-0.882,-0.261,-0.257
28,0.600,1.000,0.400,0.800,0.200,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,0.800,0.400,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,0.800,0.600,-0.882,-0.261,-0.259
28,0.600,1.000,0.400,0.800,0.800,-0.882,-0.261,-0.260
28,0.600,1.000,0.400,0.800,1.000,-0.882,-0.261,-0.260
28,0.600,1.000,0.400,1.000,0.000,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,1.000,0.200,-0.882,-0.261,-0.258
28,0.600,1.000,0.400,1.000,0.400,-0.882,-0.261,-0.259
28,0.600,1.000,0.400,1.000,0.600,-0.882,-0.261,-0.260
